# Code,Name,Ticker
5344,ＭＡＲＵＷＡ,5344.T
5393,ニチアス,5393.T
5423,東京製鐵,5423.T
5444,大和工業,5444.T
5471,大同特殊鋼,5471.T
5480,日本冶金工業,5480.T
5805,ＳＷＣＣ,5805.T
5857,ＡＲＥホールディングス,5857.T
5929,三和ホールディングス,5929.T
5947,リンナイ,5947.T
5991,日本発條,5991.T
6005,三浦工業,6005.T
6101,ツガミ,6101.T
6141,ＤＭＧ森精機,6141.T
6201,豊田自動織機,6201.T
6254,野村マイクロ・サイエンス,6254.T
6269,三井海洋開発,6269.T
6323,ローツェ,6323.T
6368,オルガノ,6368.T
6383,ダイフク,6383.T
6417,ＳＡＮＫＹＯ,6417.T
6432,竹内製作所,6432.T
6436,アマノ,6436.T
6448,ブラザー工業,6448.T
6460,セガサミーホールディングス,6460.T
6465,ホシザキ,6465.T
6544,ジャパンエレベーターサービスホールディングス,6544.T
6586,マキタ,6586.T
6590,芝浦メカトロニクス,6590.T
6632,ＪＶＣケンウッド,6632.T
6670,ＭＣＪ,6670.T
6707,サンケン電気,6707.T
6728,アルバック,6728.T
6787,メイコー,6787.T
6806,ヒロセ電機,6806.T
6845,アズビル,6845.T
6849,日本光電工業,6849.T
6856,堀場製作所,6856.T
6869,シスメックス,6869.T
6951,日本電子,6951.T
6965,浜松ホトニクス,6965.T
6966,三井ハイテック,6966.T
7003,三井Ｅ＆Ｓ,7003.T
7014,名村造船所,7014.T
7105,三菱ロジスネクスト,7105.T
7148,ＦＰＧ,7148.T
7164,全国保証,7164.T
7167,めぶきフィナンシャルグループ,7167.T
7259,アイシン,7259.T
7276,小糸製作所,7276.T
7282,豊田合成,7282.T
7309,シマノ,7309.T
7419,ノジマ,7419.T
7459,メディパルホールディングス,7459.T
7532,パン・パシフィック・インターナショナルホールディングス,7532.T
7550,ゼンショーホールディングス,7550.T
7564,ワークマン,7564.T
7599,ＩＤＯＭ,7599.T
7649,スギホールディングス,7649.T
7701,島津製作所,7701.T
7716,ナカニシ,7716.T
7729,東京精密,7729.T
7740,タムロン,7740.T
7744,ノーリツ鋼機,7744.T
7747,朝日インテック,7747.T
7762,シチズン時計,7762.T
7846,パイロットコーポレーション,7846.T
7867,タカラトミー,7867.T
7906,ヨネックス,7906.T
7936,アシックス,7936.T
7944,ローランド,7944.T
7988,ニフコ,7988.T
7994,オカムラ,7994.T
8020,兼松,8020.T
8056,ＢＩＰＲＯＧＹ,8056.T
8060,キヤノンマーケティングジャパン,8060.T
8078,阪和興業,8078.T
8088,岩谷産業,8088.T
8098,稲畑産業,8098.T
8111,ゴールドウイン,8111.T
8113,ユニ・チャーム,8113.T
8130,サンゲツ,8130.T
8133,伊藤忠エネクス,8133.T
8136,サンリオ,8136.T
8154,加賀電子,8154.T
8174,日本瓦斯,8174.T
8194,ライフコーポレーション,8194.T
8227,しまむら,8227.T
8410,セブン銀行,8410.T
8424,芙蓉総合リース,8424.T
8425,みずほリース,8425.T
8439,東京センチュリー,8439.T
8473,ＳＢＩホールディングス,8473.T
8515,アイフル,8515.T
8572,アコム,8572.T
8584,ジャックス,8584.T
8593,三菱ＨＣキャピタル,8593.T
8729,ソニーフィナンシャルグループ,8729.T
8848,レオパレス２１,8848.T
8850,スターツコーポレーション,8850.T
8876,リログループ,8876.T
8919,カチタス,8919.T
8923,トーセイ,8923.T
9006,京浜急行電鉄,9006.T
9024,西武ホールディングス,9024.T
9041,近鉄グループホールディングス,9041.T
9065,山九,9065.T
9069,センコーグループホールディングス,9069.T
9090,ＡＺ－ＣＯＭ丸和ホールディングス,9090.T
9110,ＮＳユナイテッド海運,9110.T
9119,飯野海運,9119.T
9142,九州旅客鉄道,9142.T
9143,ＳＧホールディングス,9143.T
9302,三井倉庫ホールディングス,9302.T
9418,Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,9418.T
9435,光通信,9435.T
9449,ＧＭＯインターネットグループ,9449.T
9506,東北電力,9506.T
9507,四国電力,9507.T
9508,九州電力,9508.T
9509,北海道電力,9509.T
9513,電源開発,9513.T
9684,スクウェア・エニックス・ホールディングス,9684.T
9697,カプコン,9697.T
9719,ＳＣＳＫ,9719.T
9744,メイテックグループホールディングス,9744.T
9759,ＮＳＤ,9759.T
9962,ミスミグループ本社,9962.T
9989,サンドラッグ,9989.T
